Name_Surname,Integrity_Score,Integrity_Reason,Fraction_2019,Committee_Short,Incumbency,Party_Switcher,Region_Origin,From_Center,Gender_Male,Birth_Year,Education_Dummy,Career_Origin,List_Member,Status,Integrity_URL,is_System,is_Business,is_Civil Society,is_Media,is_Military,Career_Complexity,Career_Multi,Age_at_Election,Age_Squared,Political_Experience,Age_Outlier,Macro_Region,From_Occupied,is_Kyiv_Origin
Ірина Верещук,1,"Subject to media investigations and political criticism concerning land allocation during her mayoral term in Rava-Ruska and specific political affiliations, though she lacks formal NABU pidozras or criminal verdicts.",Servant of the People,Defense,0,0,Lviv,0,0,1979,1,"System, Military",1,Terminated,AI_Verified,1,0,0,0,1,2,1,40,1600,0,0,West,0,0
Лада Булах,0,"No records found of criminal proceedings (VAKS), NAZK administrative protocols, or significant media investigations into illicit enrichment as of late 2023.",Servant of the People,Social,0,0,Kyiv,1,0,1976,0,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,43,1849,0,0,Center,0,1
Ігор Фріс,1,"Identified by anti-corruption watchdogs like Chesno for potential conflicts of interest regarding legislation benefiting the notary profession, where he maintained business interests.",Servant of the People,Legal Policy,0,0,Ivano-Frankivsk,1,1,1973,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,46,2116,0,0,West,0,0
Леся Забуранна,0,"No criminal cases in VAKS, NABU pidozras, or major documented investigative journalism pieces regarding illicit enrichment or corruption scandals have been identified.",Servant of the People,Budget,0,0,Kyiv,1,0,1981,1,Outsider,0,Active,AI_Verified,0,0,0,0,0,1,0,38,1444,0,0,Center,0,1
Любов Шпак,0,"No records of criminal verdicts, NABU suspicions, or significant investigative reports from Bihus.Info or Schemes regarding personal enrichment or corruption-related conflict of interest.",Servant of the People,Budget,0,0,Cherkasy,1,0,1980,1,Outsider,0,Active,AI_Verified,0,0,0,0,0,1,0,39,1521,0,0,Center,0,0
Максим Гузенко,2,"In February 2023, NABU and SAP notified him of suspicion (pidozra) regarding the omission of assets worth approximately 1.9 million UAH in his 2020 electronic declaration.",Servant of the People,Agrarian,0,0,Sumy,0,1,1981,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,North,0,0
Людмила Буймістер,1,"Significant media investigations (Chesno, Bihus.info) regarding lobbying for DTEK/Akhmetov energy interests and NAZK findings of minor declaration discrepancies.",Servant of the People,Eco,0,1,Kyiv,1,0,1985,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,34,1156,0,0,Center,0,1
Валентина Короленко,0,"No documented criminal investigations, NABU/SAP charges, or major investigative journalism reports regarding corruption or illicit enrichment were identified.",Servant of the People,Legal Policy,0,0,Dnipro,0,0,1984,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,35,1225,0,0,East,0,0
Максим Заремський,0,"No major criminal proceedings, VAKS cases, or formal corruption-related investigations by NABU/SAP have been documented for this MP.",Servant of the People,Budget,0,0,Chernivtsi,0,1,1991,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,28,784,0,0,West,0,0
Максим Дирдін,0,"No records of criminal cases (VAKS), official corruption protocols from NAZK, or major investigative media reports (Bihus/Schemes) concerning illicit enrichment or conflicts of interest.",Servant of the People,Legal Policy,0,0,Mykolaiv,0,1,1982,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,37,1369,0,0,South,0,0
Максим Зуєв,0,"No documented evidence of NABU pidozras, VAKS criminal proceedings, or major investigative media reports (e.g., Bihus.info, Schemes) specifically detailing illicit enrichment or corruption-related conflict of interest.",Servant of the People,Transport,0,0,Dnipro,1,1,1982,1,"Media, Business",0,Active,AI_Verified,0,1,0,1,0,2,1,37,1369,0,0,East,0,0
Максим Перебийніс,0,"No record of criminal prosecution, NABU/SAP suspicions, or significant corruption-related media investigations as of the current reporting period.",Servant of the People,Social,0,0,Kyiv,1,1,1974,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,45,2025,0,0,Center,0,1
Максим Пашковський,2,"In December 2022, NABU and SAP informed Pashkovskyi of a suspicion (pidozra) for failing to include a rented apartment in Kyiv in his 2020 asset declaration. The case was later sent to the High Anti-Corruption Court (VAKS).",Servant of the People,Transport,0,0,Vinnytsia,1,1,1983,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,Center,0,0
Марина Нікітіна,2,"In 2020, the Pechersk District Court found her guilty of an administrative corruption-related offense for a conflict of interest after she appointed her husband as her parliamentary assistant.",Servant of the People,Agrarian,0,0,Zaporizhzhia,0,0,1986,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,33,1089,0,0,East,0,0
Марина Бардіна,0,"No records of criminal investigations, VAKS cases, or significant corruption scandals found in public databases such as Chesno, NABU, or SAP.",Servant of the People,Foreign,0,0,Kyiv,0,0,1992,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,27,729,0,0,Center,0,1
Марія Мезенцева,0,"No significant corruption-related investigations by NABU, SAP, or major investigative outlets like Bihus.Info have been recorded against her.",Servant of the People,Foreign,0,0,Kharkiv,1,0,1989,1,Civil Society,0,Active,AI_Verified,0,0,1,0,0,1,0,30,900,0,0,East,0,0
Марян Заблоцький,1,Subject of media investigations regarding potential conflict of interest and lobbying for tobacco and agricultural business groups.,Servant of the People,Finance,0,0,Lviv,1,1,1985,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,34,1156,0,0,West,0,0
Микола Кириченко,2,"In early 2023, NABU and SAP notified him of suspicion (pidozra) for failing to declare property worth 1.7 million UAH. The case was referred to the High Anti-Corruption Court (VAKS) and later closed in June 2023 due to the expiration of the statute of limitations.",Servant of the People,Agrarian,0,0,Kharkiv,0,1,1983,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,East,0,0
Микола Задорожній,2,"In July 2024, NABU and SAP notified him of suspicion (pidozra) for allegedly requesting a 3.4 million UAH bribe (kickback) in exchange for allocating budget subventions for infrastructure repairs in the Sumy region.",Servant of the People,Budget,0,1,Kyiv,0,1,1984,0,Media,0,Active,AI_Verified,0,0,0,1,0,1,0,35,1225,0,0,Center,0,1
Микола Сольський,3,"In April 2024, NABU/SAP served him a suspicion (pidozra) regarding the illegal seizure of state land. The High Anti-Corruption Court (VAKS) ordered detention with a 75.7 million UAH bail, which was subsequently paid.",Servant of the People,Agrarian,0,0,Lviv,0,1,1979,1,Business,1,Terminated,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,West,0,0
Костянтин Касай,0,"No official criminal charges or NABU suspicions (pidozra) have been filed. While media reports have noted his business interests in road construction, no specific investigations into illegal enrichment or conflict of interest by high-profile outlets like Bihus/Schemes were confirmed.",Servant of the People,Human Rights,0,0,Poltava,1,1,1983,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,Center,0,0
Микола Тищенко,2,Formally served a suspicion (pidozra) by the DBR and Prosecutor General in June 2024; also subject to multiple media investigations regarding conflict of interest and enrichment by Bihus.info and Schemes.,Servant of the People,Transport,0,1,Kyiv,1,1,1972,0,"Business, Media",0,Active,AI_Verified,0,1,0,1,0,2,1,47,2209,0,0,Center,0,1
Максим Павлюк,1,"Widely reported in media for declaring millions in 'lottery winnings' (nearly 2 million UAH), which watchdogs like Chesno and Bihus.info highlight as a potential scheme for legalizing illicit enrichment.",Servant of the People,Law Enforcement,0,0,Chernivtsi,0,1,1992,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,27,729,0,0,West,0,0
Михайло Ананченко,0,"No verified criminal cases, NABU pidozras, or major investigative media exposés regarding corruption were found for this MP.",Servant of the People,Foreign,0,0,Sumy,1,1,1994,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,25,625,0,0,North,0,0
Михайло Лаба,0,"No significant evidence of criminal proceedings (VAKS), official corruption charges (NABU), or high-profile media investigations into illicit enrichment were identified.",Servant of the People,Budget,0,0,Zakarpattia,0,1,1975,1,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,44,1936,0,0,West,0,0
Микола Стефанчук,0,"No evidence of VAKS cases, NABU suspects, or significant media investigations regarding corruption or illegal enrichment.",Servant of the People,Legal Policy,0,0,Khmelnytskyi,1,1,1981,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,38,1444,0,0,Other,0,0
Іван Юнаков,0,"No major criminal verdicts, official corruption suspicions (pidozra) from NABU/SAP, or documented enrichment scandals in investigative media found for this MP.",Servant of the People,State Power,0,0,Kyiv,1,1,1984,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,35,1225,0,0,Center,0,1
Неллі Яковлєва,0,"No recorded criminal proceedings, VAKS cases, or significant corruption investigations found in public registries or investigative media like Bihus.info or Schemes.",Servant of the People,Humanitarian,0,0,Kyiv,0,0,1985,1,"Civil Society, Outsider",1,Active,AI_Verified,0,0,1,0,0,2,1,34,1156,0,0,Center,0,1
Оксана Гринчук,0,"No official criminal charges, NABU suspicions, or major investigative reports regarding corruption or illicit enrichment have been identified.",Servant of the People,Transport,0,0,Chernivtsi,1,0,1979,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,West,0,0
Оксана Дмитрієва,0,"No formal criminal proceedings, VAKS cases, or NAZK corruption protocols identified in public records.",Servant of the People,Humanitarian,0,0,Dnipro,1,0,1980,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,39,1521,0,0,East,0,0
Олег Арсенюк,0,"No significant evidence of criminal proceedings (VAKS), NABU/SAP suspicions, or prominent media investigations regarding illegal enrichment or corruption were found.",Servant of the People,Social,0,0,Cherkasy,1,1,1986,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,33,1089,0,0,Center,0,0
Олег Бондаренко,0,"No documented criminal verdicts, official NABU suspicions, or high-profile media investigations into illegal enrichment or conflict of interest were found.",Servant of the People,Eco,0,0,Kharkiv,1,1,1975,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,44,1936,0,0,East,0,0
Михайло Новіков,0,"No major corruption investigations, VAKS cases, or NAZK protocols identified in public records or media monitoring.",Servant of the People,Legal Policy,0,0,Kyiv,0,1,1958,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,61,3721,0,0,Center,0,1
Олег Дунда,1,"Reported in media investigations (Chesno, Bihus.info) for participating in 'amendment spamming' (specifically against the 'anti-Kolomoisky' banking law) and alleged links to the Privat Group business interests.",Servant of the People,State Power,0,0,Dnipro,1,1,1980,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,39,1521,0,0,East,0,0
Олег Семінський,1,Featured in media investigations by 'Schemes' (Radio Liberty) regarding audio recordings detailing his involvement in corporate conflicts and alleged influence over judicial processes in the energy sector.,Servant of the People,Energy,0,0,Kyiv,0,1,1973,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,46,2116,0,0,Center,0,1
Олег Воронько,3,"In early 2022, the State Bureau of Investigation (SBI) conducted searches and investigations into Voronko regarding allegations of fraud and extortion of $40,000 and the use of forged documents.",Servant of the People,Finance,0,1,Kirovohrad,0,1,1974,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,45,2025,0,0,Center,0,0
Олег Тарасов,1,Identified by media investigations (Bihus.info) and NGOs like Chesno for potential conflicts of interest and lobbying for family-owned agricultural businesses while serving on the Agrarian Committee.,Servant of the People,Agrarian,0,0,Kirovohrad,1,1,1984,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,35,1225,0,0,Center,0,0
Олег Колєв,0,"No major corruption scandals, VAKS cases, or official NAZK protocols identified in public records.",Servant of the People,Law Enforcement,0,0,Odesa,0,1,1973,1,"Business, Media",0,Active,AI_Verified,0,1,0,1,0,2,1,46,2116,0,0,South,0,0
Олександр Бакумов,0,"No records found in VAKS (Anti-Corruption Court) cases, NABU/SAP investigations, or major media reports regarding illicit enrichment as of late 2023.",Servant of the People,Law Enforcement,0,0,Kharkiv,1,1,1989,1,"System, Business",0,Active,AI_Verified,1,1,0,0,0,2,1,30,900,0,0,East,0,0
Олександр Аліксійчук,1,"Publicly scrutinized in media investigations (e.g. Chesno, Bihus.info) regarding his receipt of state housing compensation despite his background as a wealthy businessman and potential conflict of interest/lobbying in the construction sector.",Servant of the People,State Power,0,0,Rivne,0,1,1981,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,Other,0,0
Олександр Гайду,2,NAZK (National Agency on Corruption Prevention) issued an administrative protocol for a conflict of interest following an incident in 2022 where he reportedly used his deputy powers for personal reasons at an Odesa restaurant.,Servant of the People,Agrarian,0,0,Mykolaiv,1,1,1976,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,43,1849,0,0,South,0,0
Михайло Крячко,0,"No significant criminal cases, official corruption charges from NABU/SAP, or high-profile media investigations into illicit enrichment found for this MP.",Servant of the People,State Power,0,0,Zaporizhzhia,1,1,1980,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,39,1521,0,0,East,0,0
Олександр КОВАЛЬЧУК,0,"No significant criminal investigations, official corruption charges, or NABU/VAKS cases found in public anti-corruption registries for this MP.",Servant of the People,Finance,0,0,Rivne,1,1,1974,1,"Business, Civil Society",0,Active,AI_Verified,0,1,1,0,0,2,1,45,2025,0,0,Other,0,0
Олександр Горенюк,0,"No significant corruption-related criminal cases, NABU/SAP suspicions, or major investigative journalism reports concerning illegal enrichment were identified as of the latest public records.",Servant of the People,Transport,0,0,Odesa,1,1,1991,1,"Business, Civil Society",0,Active,AI_Verified,0,1,1,0,0,2,1,28,784,0,0,South,0,0
Антон Швачко,1,"Investigated by NABU and media (Bihus.info) regarding unexplained assets, specifically a 5 million UAH gift from his mother which did not match her official income.",Servant of the People,Rules,0,0,Sumy,1,1,1992,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,27,729,0,0,North,0,0
Олександр Кубраков,1,"While he notably acted as a whistleblower for NABU in bribery cases, his leadership of 'Great Construction' (Velyke Budivnytstvo) was subject to numerous media investigations regarding cartel-like structures and inflated road costs.",Servant of the People,Transport,0,0,Dnipropetrovsk,0,1,1982,1,"Business, System",1,Terminated,AI_Verified,1,1,0,0,0,2,1,37,1369,0,0,East,0,0
Олександр Васюк,0,"No documented corruption investigations, official suspicions from NABU/SAP, or major media scandals (Bihus/Schemes) involving illicit enrichment or conflict of interest were found.",Servant of the People,Legal Policy,0,0,Zaporizhzhia,1,1,1994,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,25,625,0,0,East,0,0
Олександр Маріковський,2,"In early 2023, NABU and SAP notified Marikovskyi of a suspicion (pidozra) regarding the inclusion of false information in his 2020 asset declaration, specifically failing to disclose a vehicle.",Servant of the People,Eco,0,0,Kyiv,1,1,1982,1,"Business, Media",1,Active,AI_Verified,0,1,0,1,0,2,1,37,1369,0,0,Center,0,1
Олександр Салійчук,0,"No major criminal proceedings, VAKS cases, or significant investigative media reports (Bihus/Schemes) involving corruption or illegal enrichment have been documented for this MP.",Servant of the People,Agrarian,0,0,Rivne,0,1,1981,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,Other,0,0
Олександр Мережко,0,"No criminal cases, NAZK protocols, or major corruption investigations by investigative media outlets like Bihus.Info or Schemes have been reported.",Servant of the People,Foreign,0,0,Kyiv,0,1,1971,1,Outsider,1,Active,AI_Verified,0,0,0,0,0,1,0,48,2304,0,0,Center,0,1
Олександр Санченко,0,"No major corruption scandals, NABU investigations, or criminal proceedings identified in public records.",Servant of the People,Humanitarian,0,0,Sumy,1,1,1988,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,31,961,0,0,North,0,0
Олександр Скічко,0,"No criminal proceedings, NABU/SAP official suspicions, or major anti-corruption media investigations (like Schemes or Bihus) regarding illicit enrichment while in office were confirmed.",Servant of the People,Transport,0,0,Cherkasy,1,1,1991,1,Media,0,Terminated,AI_Verified,0,0,0,1,0,1,0,28,784,0,0,Center,0,0
Олександр Сова,1,Reported potential conflicts of interest by media outlets and anti-corruption watchdogs (e.g. Chesno) regarding his position on the Finance Committee while owning the SOVA jewelry business.,Servant of the People,Finance,0,0,Khmelnytskyi,0,1,1972,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,47,2209,0,0,Other,0,0
Олександр Ткаченко,1,"Investigative journalists from Bihus.info reported on his use of a residence on Trukhaniv Island in a protected area, which was not initially declared and raised zoning compliance issues.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1966,0,"Media, Business",1,Terminated,AI_Verified,0,1,0,1,0,2,1,53,2809,0,0,Center,0,1
Олексій Ковальов,3,Declared a suspect for high treason and collaboration with the Russian Federation during the occupation of Kherson; assets were seized by VAKS and ARMA.,Servant of the People,Finance,0,1,Kherson,0,1,1989,1,Business,0,Deceased,AI_Verified,0,1,0,0,0,1,0,30,900,0,0,South,0,0
Олександр Федієнко,0,"No records of criminal proceedings at VAKS, NABU pidozras, or major corruption-related investigative media reports (Bihus/Schemes) involving personal enrichment or conflict of interest.",Servant of the People,Transport,0,0,Kyiv,1,1,1972,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,47,2209,0,0,Center,0,1
Олександр Качура,1,"Media investigations have highlighted his past legal work for Viktor Medvedchuk's 'Ukrainian Choice' and other controversial figures, though no formal criminal corruption charges (NABU/VAKS) are active.",Servant of the People,State Power,0,0,Kyiv,0,1,1990,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,29,841,0,0,Center,0,1
Олександр Літвінов,0,"No records found of criminal proceedings (VAKS), NABU/SAP suspicions, or major investigative journalism reports identifying specific corruption schemes or illicit enrichment.",Servant of the People,State Power,0,0,Kharkiv,0,1,1972,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,47,2209,0,0,East,0,0
Олексій Кучер,2,"In December 2023, NABU and SAP informed Kucher of a suspicion (pidozra) regarding the declaration of false information, specifically related to his claims of owning Bitcoin (worth approx. 13 million UAH) which were not verified during investigation.",Servant of the People,Legal Policy,0,0,Kharkiv,0,1,1985,1,Business,0,Terminated,AI_Verified,0,1,0,0,0,1,0,34,1156,0,0,East,0,0
Олексій Леонов,1,Subject of media investigations by outlets like Bihus.info regarding legislative lobbying in the tobacco sector and undisclosed business interests in Odesa.,Servant of the People,Finance,0,0,Odesa,1,1,1983,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,South,0,0
Олексій Мовчан,1,"Subject of media investigations regarding potential nepotism (nephew of MP Yuriy Shapovalov) and lobbying for legislative changes related to the 'electronic platforms' for real estate valuation, which were criticized for creating corruption risks.",Servant of the People,Finance,0,0,Poltava,0,1,1994,1,"Civil Society, Business",0,Active,AI_Verified,0,1,1,0,0,2,1,25,625,0,0,Center,0,0
Олексій Оржель,0,"No records of criminal corruption cases, NABU/SAP suspicions, or significant media investigations regarding illicit enrichment found.",Servant of the People,Energy,0,0,Kyiv,1,1,1984,0,"Civil Society, System",1,Terminated,AI_Verified,1,0,1,0,0,2,1,35,1225,0,0,Center,0,1
Олексій Устенко,0,"No recorded criminal cases, NABU/SAP suspicions, or major media investigations (Bihus/Schemes) specifically detailing personal enrichment or conflict of interest have been verified.",Servant of the People,Finance,0,0,Kyiv,1,1,1994,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,25,625,0,0,Center,0,1
Олена Копанчук,0,"No criminal cases or official corruption charges (NABU/SAP) are registered. While she was the first MP in the 9th convocation caught in a non-personal voting (button-pushing) scandal, it does not meet the enrichment/corruption criteria defined for scores 1-3.",Servant of the People,Budget,0,0,Khmelnytskyi,1,0,1978,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,41,1681,0,0,Other,0,0
Олена Криворучкіна,1,"Subject of media investigations regarding potential conflicts of interest and unexplained wealth disparities in declarations, although no formal criminal charges (VAKS/NABU) have been finalized.",Servant of the People,Eco,0,0,Dnipro,0,0,1971,1,Outsider,0,Active,AI_Verified,0,0,0,0,0,1,0,48,2304,0,0,East,0,0
Олена Лис,0,"No records of criminal corruption cases, NABU pidozras, or significant media investigations regarding illicit enrichment as of late 2023.",Servant of the People,Humanitarian,0,0,Chernivtsi,1,0,1981,0,Outsider,0,Active,AI_Verified,0,0,0,0,0,1,0,38,1444,0,0,West,0,0
Олена Хоменко,0,"No significant corruption scandals or criminal proceedings identified in NABU, SAP, or investigative media (Bihus/Schemes) records.",Servant of the People,Foreign,0,0,Kyiv,1,0,1975,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,44,1936,0,0,Center,0,1
Олексій Кузнєцов,0,"No major criminal proceedings, NABU investigations, or significant media corruption scandals recorded.",Servant of the People,Human Rights,0,0,Luhansk,0,1,1979,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,East,1,0
Ольга Василевська-Смаглюк,1,"Chesno and media investigations (Bihus.info) link her to the 'Kolomoisky group' and highlight legislative lobbying efforts, though she lacks formal criminal charges or VAKS cases.",Servant of the People,Finance,0,0,Kyiv,0,0,1985,0,Media,0,Active,AI_Verified,0,0,0,1,0,1,0,34,1156,0,0,Center,0,1
Ольга Коваль,0,"No records found of criminal proceedings, official suspicions from NABU/SAP, or credible media investigations into corruption or illegal enrichment.",Servant of the People,Humanitarian,0,0,Kyiv,1,0,1991,1,Outsider,1,Active,AI_Verified,0,0,0,0,0,1,0,28,784,0,0,Center,0,1
Ольга Руденко,0,"No significant corruption scandals, NABU investigations, or criminal proceedings found in public records or investigative media databases like Bihus.info or Chesno.",Servant of the People,Foreign,0,0,Kyiv,1,0,1979,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,Center,0,1
Ольга Саладуха,0,"No significant corruption investigations, NABU pidozra, or VAKS cases found. Public monitoring by Chesno identifies no major integrity violations.",Servant of the People,Humanitarian,0,0,Donetsk,1,0,1983,0,Outsider,1,Active,AI_Verified,0,0,0,0,0,1,0,36,1296,0,0,East,1,0
ОЛЕНА МОШЕНЕЦЬ,0,"No major corruption-related criminal cases (VAKS), NABU/SAP investigations, or official NAZK integrity protocols found in public records.",Servant of the People,Anti-Corruption,0,0,Kyiv,1,0,1983,1,Media,1,Active,AI_Verified,0,0,0,1,0,1,0,36,1296,0,0,Center,0,1
Павел Якименко,1,Media investigations and civil society monitoring (e.g. Chesno) have highlighted potential conflicts of interest and lobbying related to sand extraction businesses in the Kharkiv region.,Servant of the People,Eco,0,0,Kharkiv,1,1,1989,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,30,900,0,0,East,0,0
Ольга Совгиря,0,"No documented criminal investigations by NABU/SAP, official NAZK protocols for corruption, or high-profile media investigations into illegal enrichment.",Servant of the People,Legal Policy,0,0,Kyiv,1,0,1980,1,System,1,Terminated,AI_Verified,1,0,0,0,0,1,0,39,1521,0,0,Center,0,1
Остап Шипайло,0,"No records of criminal verdicts (VAKS), NABU suspicion (pidozra), or major documented media investigations regarding illegal enrichment found in public registries.",Servant of the People,Energy,0,0,Lviv,1,1,1982,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,37,1369,0,0,West,0,0
Павло Сушко,0,"No records found of criminal proceedings by VAKS, NABU pidozras, or specific media investigations regarding illicit enrichment or conflicts of interest.",Servant of the People,Humanitarian,0,0,Kharkiv,0,1,1979,0,"Military, Business, Media",1,Active,AI_Verified,0,1,0,1,1,3,1,40,1600,0,0,East,0,0
Павло Павліш,0,"No high-profile criminal investigations (VAKS), NABU suspicions, or documented evidence of illegal enrichment in major media investigations found.",Servant of the People,Legal Policy,0,0,Kherson,0,1,1979,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,South,0,0
Павло Фролов,0,"No major corruption investigations, pidozra from NABU, or significant enrichment scandals reported by investigative outlets like Bihus or Schemes.",Servant of the People,Rules,0,0,Dnipro,0,1,1975,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,44,1936,0,0,East,0,0
Олексій Красов,0,"No significant evidence of criminal proceedings, NABU suspicions, or major media investigations into illicit enrichment or corruption were found for this MP.",Servant of the People,Anti-Corruption,0,0,Kharkiv,1,1,1987,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,32,1024,0,0,East,0,0
Роксолана Підласа,0,"No records of criminal investigations by NABU, SAP, or VAKS, and no significant media-verified scandals involving illicit enrichment or conflict of interest.",Servant of the People,Budget,0,0,Cherkasy,1,0,1991,1,"System, Civil Society",1,Active,AI_Verified,1,0,1,0,0,2,1,28,784,0,0,Center,0,0
Роман Грищук,0,"No significant corruption investigations, criminal cases (NABU/SAP), or VAKS proceedings identified; maintains a relatively clean profile regarding integrity.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1989,0,"Media, Business",0,Active,AI_Verified,0,1,0,1,0,2,1,30,900,0,0,Center,0,1
Роман Соха,0,"No record of VAKS criminal cases, NABU pidozras, or high-profile investigative journalism reports by Bihus.info or Schemes regarding personal enrichment or bribery.",Servant of the People,Transport,0,1,Zaporizhzhia,1,1,1975,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,44,1936,0,0,East,0,0
Роман Каптєлов,0,"No official criminal proceedings, VAKS cases, or NABU/SAP suspects were identified in public anti-corruption registries or major investigative reports.",Servant of the People,Budget,0,0,Poltava,1,1,1980,0,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,39,1521,0,0,Center,0,0
Роман Бабій,0,"No documented corruption investigations, NABU suspicions, or VAKS cases found in public registries or major investigative media.",Servant of the People,Legal Policy,0,0,Lviv,0,1,1977,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,42,1764,0,0,West,0,0
Святослав Юраш,0,"No records of official corruption charges (NABU/SAP), VAKS verdicts, or documented illicit enrichment investigations by major media outlets (Bihus.info/Schemes) found in public registries.",Servant of the People,Foreign,0,0,Lviv,1,1,1996,1,"Civil Society, Media",1,Active,AI_Verified,0,0,1,1,0,2,1,23,529,0,0,West,0,0
Ростислав Тістик,1,"Media investigations (notably by Chesno and Nashi Groshi) have highlighted concerns regarding his family's business influence in Lviv and the rapid growth of assets, though he has no criminal convictions or official pidozra.",Servant of the People,Budget,0,0,Lviv,1,1,1993,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,26,676,0,0,West,0,0
Руслан Горбенко,1,Target of media investigations by Nashi Groshi and Bihus.info regarding overpriced tire contracts between his company Intershyna UA and state-owned enterprises.,Servant of the People,Humanitarian,0,0,Luhansk,1,1,1979,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,East,1,0
Микола Тарарін,0,"No criminal investigations, NABU suspicions, or significant corruption scandals have been documented since his accession to parliament in 2023.",Servant of the People,Law Enforcement,0,0,Poltava,1,1,1979,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,40,1600,0,0,Center,0,0
Сергій Бабак,0,"While involved in high-profile scandals regarding academic plagiarism, he has no recorded criminal verdicts, NABU/SAP suspicions, or media investigations regarding illegal enrichment or corruption-based conflict of interest as defined in the scale.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1978,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,41,1681,0,0,Center,0,1
Роман Іванісов,1,Expelled from the presidential faction following media investigations and public scandals regarding a hidden 1990s criminal record; categorized as an integrity violation and lack of transparency regarding past criminal background.,Servant of the People,Anti-Corruption,0,1,Rivne,0,1,1978,1,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,41,1681,0,0,Other,0,0
Сергій Кальченко,0,"No official records of VAKS cases, NABU pidozras, or NAZK corruption protocols found. Maintains a professional reputation as a legal expert.",Servant of the People,Rules,0,0,Kyiv,1,1,1964,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,55,3025,0,0,Center,0,1
